,电影类别,编码,公映证号,片名,第一出品单位,上映日期,导演,主演,国别/地区,img_remote
0,国产故事片,1100382021,39,夺命黄金,北京鹦鹉娱乐文化传播有限公司,,,,,
1,国产故事片,1100492021,48,一念殊途,游道道（泰宁）影视有限公司,,,,,
2,国产故事片,1101112021,107,年少有你,安徽南屏影业传媒有限公司,,,,,
3,国产故事片,1101832021,149,来自异乡的女人,河北众恒文化传媒有限公司,,,,,
4,国产故事片,1101992021,175,心想念动,上海序易影视文化传媒有限公司,,,,,
5,国产故事片,1102102021,184,喀纳斯水怪,北京少阳影视文化传媒有限公司,,,,,
6,国产故事片,1102392021,206,梦想的面具,美幕影业（北京）有限公司,,,,,
7,国产故事片,1102402021,208,上山,上海欢十喜文化有限公司,,,,,
8,国产故事片,1102592021,224,奇情快车,广州市盛时图华影视有限公司,,,,,
9,国产故事片,1102652021,231,全城订单,福建省福影影业有限公司,,,,,
10,国产故事片,1102872021,245,马家小哥儿,北京海晏和清影视文化有限公司,,,,,
11,国产故事片,1102942021,247,丝路传奇之十面埋伏,陕西夏至影视文化传媒有限公司,,,,,
12,国产故事片,1103202021,287,立水桥北,电影频道节目中心,,,,,
13,国产故事片,1103432021,288,花开高黎贡,保山新丝路影视传媒有限公司,,,,,
14,国产故事片,1103452021,290,铁道英雄,华谊兄弟电影（青岛）有限公司,2021/11/19,杨枫,张涵予、范伟、魏晨,中国,https://www.zgdypw.cn/sc/scxx/202111/09/W020211109568436094661.png
15,国产故事片,1103602021,305,雪鹰领主,上海丝芭影视有限公司,,,,,
16,国产故事片,1103622021,309,金家堤之恋,益阳市广播电视台,,,,,
17,国产故事片,1103642021,311,延平王郑成功传奇,厦门风云科技股份有限公司,,,,,
18,国产故事片,1103652021,312,摄影师青年吴印咸,江苏鲍氏影业有限公司,,,,,
19,国产故事片,1103692021,316,你最珍贵,山东电影制片厂有限公司,,,,,
20,国产故事片,1103922021,323,火热的青春,陕西齐步走影视文化传媒有限公司,,,,,
21,国产故事片,1104012021,332,吴来朝（蟠龙梆子）,济南市蟠龙梆子文化传播有限公司,,,,,
22,国产故事片,1104042021,335,情满茶香,北京梦飞扬文化传播有限公司,,,,,
23,国产故事片,1104112021,343,门锁,厦门恒业影业有限公司,2021/11/19,别克,⽩百何、⽩客、范丞丞,中国,https://www.zgdypw.cn/sc/scxx/202111/16/W020211116386608174075.png
24,国产故事片,1104132021,346,扬名立万,上海猫眼影业有限公司,2021/11/11,刘循⼦墨,尹正、邓家佳、喻恩泰,中国,https://www.zgdypw.cn/sc/scxx/202111/01/W020211101348204248380.png
25,国产故事片,1104232021,348,御猫传,西安沣镐嘉艺影视文化传播有限公司,,,,,
26,国产故事片,1104242021,349,角抵士,西安沣镐嘉艺影视文化传播有限公司,,,,,
27,国产故事片,1104312021,356,北游记之仙魂下凡,北京东方飞云国际影视股份有限公司,,,,,
28,国产故事片,1104362021,366,鸟语人,陕西广电影视文化产业发展有限公司,,,,,
29,国产故事片,1104402021,371,村头村尾,威海光语电影有限公司,,,,,
30,国产故事片,1104192021,384,垫底冠军,电影频道节目中心,,,,,
31,国产故事片,1104532021,385,九道湾,山东青台阶文化传播有限公司,,,,,
32,国产故事片,1104582021,391,绿茵之外,北京正午东方影业有限公司,,,,,
33,国产故事片,1104762021,404,幺妹住在十三寨,重庆永尊影视文化有限公司,,,,,
34,国产故事片,1104812021,409,守望,颍上晨宇文化影视传媒有限公司,2021/11/11,黎涛,丁嘉丽、刘宸希,中国,https://www.zgdypw.cn/sc/scxx/202111/09/W020211109568436001853.png
35,国产故事片,1104822021,410,乌龙大侠,陕西好故事影视文化传媒有限公司,,,,,
36,国产故事片,1104832021,411,南侠展昭之困兽危笼,陕西好故事影视文化传媒有限公司,,,,,
37,国产故事片,1105642020,483,冰上魅影,南家班（无锡）影业有限公司,,,,,
